vendor,category,confidence
Sundar Care Biratnagar,Healthcare,0.8
Prime Provider Syangja,Utilities,0.97
Riverside Modern Water Chitwan,Utilities,0.83
Sunrise Urban Hotel Dharan,Travel,0.89
Golden Shop Dhangadhi,Shopping,0.95
Syangja Rides Hetauda 434,Transportation,0.94
Blue Laboratory,Healthcare,0.88
Koshi Modern Care,Healthcare,0.94
Everest Urban Bakery Dhangadhi 913,Food & Dining,0.89
Smart Resort 832,Travel,0.93
Chitwan Goods Dharan,Other,0.95
Classic Center Kathmandu,Other,0.95
Suryodaya Modern Logistics Chitwan,Business,0.96
Classic Bus Service Pokhara 738,Transportation,0.96
Ananda Club Nepalgunj,Entertainment,0.82
Naya Mega Books Dharan 315,Education,0.86
Janakpur Provider Hetauda,Utilities,0.97
Ananda Restaurant,Food & Dining,0.87
Gorkha Sewa Dharan,Transportation,0.97
Gorkha Urban Restaurant Hetauda,Food & Dining,0.96
Kathmandu Global Transport Pokhara,Transportation,0.98
Hetauda Events Dharan,Entertainment,0.8
Bishal Hotel,Travel,0.83
First Mega Outlet,Shopping,0.91
Lalitpur Playzone,Entertainment,0.83
Kathmandu Petrol Pump,Transportation,0.93
Pokhara Arcade Lalitpur,Entertainment,0.9
Bishal Travels,Transportation,0.88
Dullu Shop,Shopping,0.92
Lalitpur Super Care Dhangadhi 269,Healthcare,0.87
Golden Supplies Janakpur,Business,0.83
City Depo,Shopping,0.94
Bhaktapur Point,Other,0.97
Prime Tuition,Education,0.86
Moonlight Modern Guest House,Travel,0.82
Gorkha Stationery,Education,0.84
Royal Super Center,Education,0.95
Janakpur Sewa Butwal 705,Transportation,0.87
Sunrise Lounge,Entertainment,0.89
Metro Classic Rentals Butwal,Business,0.94
Green Point Hetauda,Other,0.98
Mountain Modern Trek,Travel,0.84
Suryodaya Provider Nepalgunj,Utilities,0.84
Trust Petrol Pump Biratnagar 251,Transportation,0.84
First Laboratory Syangja,Healthcare,0.82
Moonlight Arcade,Entertainment,0.92
Everest Logistics 179,Business,0.95
Biratnagar Fashion,Shopping,0.87
Lumbini Agency Biratnagar 4,Business,0.91
City Ayurveda Gorkha,Healthcare,0.85
Quick Super Hotel,Travel,0.95
Nepalgunj Medical Hetauda,Healthcare,0.98
Pokhara Mega Rentals,Business,0.85
Nepalgunj Hotel 221,Travel,0.95
Royal Foods 521,Food & Dining,0.94
Mountain Global Flight Chitwan 351,Travel,0.8
Syangja Retreat Syangja,Travel,0.96
Naya Modern Tuition Kathmandu 477,Education,0.96
City Classic Diagnostics,Healthcare,0.88
Nepalgunj Pasal Jumla 323,Other,0.87
Urban Gaming,Entertainment,0.93
Good Office 844,Business,0.83
Heritage Classic Shop,Other,0.84
Lalitpur Cinema Hetauda,Entertainment,0.94
Moonlight Fuel Station,Transportation,0.85
Sajilo Emporium Nepalgunj,Shopping,0.85
Lakeside Health Center Janakpur,Healthcare,0.95
Lalitpur Super Playzone Syangja,Entertainment,0.89
Green Assortment,Other,0.86
Hetauda Services 654,Business,0.97
Blue Point Gorkha 933,Other,0.94
Butwal Electronics,Shopping,0.8
Heritage Bhojanalay Syangja,Food & Dining,0.93
Golden Global Taxi,Transportation,0.81
Nepalgunj School,Education,0.9
Biratnagar Corner Chitwan,Other,0.94
Blue Hospital 792,Healthcare,0.91
Nepalgunj Super Bhojanalay,Food & Dining,0.9
Good Clinic Biratnagar 306,Healthcare,0.99
Lalitpur Super Office,Business,0.9
Janakpur Super Guest House,Travel,0.93
Nepal Hospital Chitwan,Healthcare,0.87
Heritage Hospital,Healthcare,0.96
Naya Gaming Gorkha,Entertainment,0.92
Urban Clinic Chitwan,Healthcare,0.89
Golden Urban Garage Dhangadhi,Transportation,0.97
Biratnagar Internet Dhangadhi,Utilities,0.93
Quick Urban Center,Other,0.91
Bishal Provider Hetauda,Other,0.85
Suryodaya Cinema,Entertainment,0.84
Mountain Kitchen,Food & Dining,0.98
Biratnagar Clinic Syangja,Healthcare,0.98
Gorkha Electronics Kathmandu,Shopping,0.89
Lalitpur Mega Mart Kathmandu,Shopping,0.81
Trust Rentals Chitwan,Business,0.81
Bagmati Center Syangja,Other,0.82
Lalitpur Bhojanalay Janakpur,Food & Dining,0.86
Mero Store Gorkha,Shopping,0.9
Blue Bakery,Food & Dining,0.96
Sundar Cable Gorkha,Utilities,0.98
Metro Tours Gorkha,Travel,0.81
Pashupati Electric Butwal,Utilities,0.98
Ananda Laboratory 391,Healthcare,0.9
Elite Care,Healthcare,0.97
Biratnagar Broadband Dharan 802,Utilities,0.87
Dharan Sewa Dharan,Transportation,0.87
Elite Rides,Transportation,0.91
Syangja Foods,Food & Dining,0.95
Riverside Trek Butwal,Travel,0.94
Dharan School,Education,0.83
Dullu Super Playzone,Entertainment,0.86
Naya Flight 618,Travel,0.95
Bhaktapur Classic Resort Syangja,Travel,0.89
Sundar Service,Utilities,0.96
Green Point,Other,0.93
Butwal Clinic,Healthcare,0.88
Pokhara Trans,Transportation,0.97
Smart Gaming 509,Entertainment,0.9
Sukrishna Laboratory 39,Healthcare,0.98
Green Mart Jumla,Shopping,0.84
Bhaktapur Training Kathmandu,Education,0.83
Royal Fashion Biratnagar,Shopping,0.83
Pokhara Bazaar Chitwan,Shopping,0.88
First Transport Jumla,Transportation,0.8
Hetauda Provider Dharan,Other,0.83
Lalitpur Entertainment,Entertainment,0.85
Quick Center Biratnagar,Other,0.99
Hetauda Bakery,Food & Dining,0.81
Chitwan Hospital 565,Healthcare,0.92
Nepal Global Clinic Hetauda 812,Healthcare,0.88
Classic Kirana,Other,0.89
Lumbini Service Biratnagar 478,Utilities,0.92
Ananda Fuel Station,Transportation,0.8
Himal Bazaar Bhaktapur,Shopping,0.89
City Bus Service 343,Transportation,0.82
Lumbini Hostel Chitwan,Business,0.93
Blue Agency Dharan,Business,0.97
Kathmandu Bazaar Syangja,Shopping,0.94
Naya Classic Wellness,Healthcare,0.98
Green Rentals Syangja 714,Business,0.83
Suryodaya Collection 749,Shopping,0.89
Smart Wellness,Healthcare,0.93
Pashupati Training Janakpur 917,Education,0.95
Bagmati Bazaar Jumla,Shopping,0.87
Classic Urban Fashion 854,Shopping,0.87
Elite Tuition 304,Education,0.96
Moonlight Classic Goods Kathmandu,Other,0.9
Pashupati Trek,Travel,0.81
Trust Global Broadband Hetauda,Utilities,0.86
Syangja Mart 52,Shopping,0.92
Urban Wellness Jumla,Healthcare,0.87
Smart College,Education,0.91
Nepalgunj Pasal Dhangadhi,Other,0.89
Classic Mega Energy,Utilities,0.96
Bishal Arcade Pokhara,Entertainment,0.92
Janakpur Events,Entertainment,0.9
Metro Cinema Butwal,Entertainment,0.83
Pokhara Books,Education,0.82
Sundar Center Kathmandu,Education,0.94
Metro Rentals,Business,0.89
Metro Water,Utilities,0.82
Riverside Global Care Chitwan,Healthcare,0.96
Bhaktapur Ayurveda,Healthcare,0.94
Moonlight Consultancy Butwal,Business,0.84
Lumbini Global Rentals Hetauda,Business,0.98
Butwal Training,Education,0.84
City Institute 948,Education,0.97
Blue Classic Stationery Syangja 664,Education,0.91
Mountain Mega Telecom Janakpur,Utilities,0.87
Everest Modern Tours 637,Travel,0.83
Nepal Electric Hetauda 908,Utilities,0.93
Lalitpur Lodge 171,Travel,0.86
Trust Fashion Bhaktapur,Shopping,0.92
Happy Super Logistics,Business,0.96
Sukrishna Mart Chitwan,Food & Dining,0.83
Riverside Hostel Nepalgunj,Business,0.9
Metro Super Center,Other,0.98
Golden Wellness,Healthcare,0.97
Sunrise Broadband Nepalgunj,Utilities,0.87
Biratnagar Gaming Dharan,Entertainment,0.81
Koshi Rentals,Business,0.93
Dharan Global Electronics,Shopping,0.9
Himal Hospital,Healthcare,0.98
Good Solutions,Business,0.82
Kathmandu Playzone,Entertainment,0.92
Sukrishna Transport 348,Transportation,0.91
Chitwan Mega Store Butwal,Shopping,0.81
Dullu Medical Gorkha,Healthcare,0.95
Sajilo Hotel Bhaktapur 658,Travel,0.98
Koshi Clinic,Healthcare,0.9
City Events Hetauda,Entertainment,0.97
Metro Rentals Janakpur 809,Business,0.86
Moonlight Shop Jumla,Other,0.85
Royal Theatre Chitwan,Entertainment,0.82
Riverside Provider Lalitpur,Utilities,0.87
Gorkha Supplies Bhaktapur,Business,0.92
Syangja Cinema,Entertainment,0.93
Heritage Telecom Lalitpur,Utilities,0.84
Blue Hospital,Healthcare,0.97
Elite Flight Nepalgunj,Travel,0.93
Sajilo Cinema,Entertainment,0.93
Pokhara Classic Academy Janakpur,Education,0.89
Golden Bakery Nepalgunj,Food & Dining,0.91
Elite Travels,Travel,0.9
Quick Events,Entertainment,0.86
Metro Hotel Chitwan,Travel,0.91
Moonlight Mega Trek,Travel,0.92
Blue Retreat Kathmandu,Travel,0.95
Royal Service,Utilities,0.86
Janakpur Hostel Hetauda 649,Business,0.96
Bishal Ayurveda Janakpur 463,Healthcare,0.86
Janakpur Cinema,Entertainment,0.83
Lakeside Printing Dharan,Business,0.97
Trust Mart Kathmandu,Food & Dining,0.87
Gorkha Lounge Pokhara 33,Entertainment,0.88
Kathmandu Modern Sewa,Transportation,0.92
City Center,Education,0.97
Happy Urban Care,Healthcare,0.87
Mountain Super Utility,Utilities,0.91
Lumbini Flight,Travel,0.83
Heritage Urban Diagnostics,Healthcare,0.84
Mero Restaurant,Food & Dining,0.96
Happy Kirana 342,Other,0.82
Prime Electric,Utilities,0.86
Koshi Foods Bhaktapur,Food & Dining,0.91
Ananda Trans Hetauda 760,Transportation,0.94
Elite Super Consultancy,Business,0.93
Metro Water Jumla,Utilities,0.97
Riverside Global Provider Lalitpur,Other,0.81
Bhaktapur Energy Gorkha,Utilities,0.85
Prime Urban Tours Syangja,Travel,0.83
Kathmandu Global School Chitwan,Education,0.96
Pokhara Outlet Dhangadhi,Shopping,0.89
Green Services Dharan 976,Business,0.93
Butwal Classic Care Syangja,Healthcare,0.85
Biratnagar Bazaar Nepalgunj,Shopping,0.95
Lalitpur Global Tours Dhangadhi,Travel,0.95
Green Outlet Biratnagar,Shopping,0.89
Kathmandu Cafe Dharan,Food & Dining,0.91
Good Shop Jumla,Other,0.9
Smart Petrol Pump Janakpur,Transportation,0.87
Riverside Wellness Butwal,Healthcare,0.87
Bhaktapur Lodge Gorkha,Travel,0.92
Lakeside Logistics Lalitpur 24,Business,0.93
Quick Medical,Healthcare,0.82
Himal Classic Travels Butwal,Travel,0.86
Bishal Bazaar Bhaktapur,Shopping,0.86
Happy Beverages,Food & Dining,0.8
Green Playzone Lalitpur,Entertainment,0.81
Seti Ayurveda Butwal,Healthcare,0.8
Chitwan Super Bhojanalay Biratnagar,Food & Dining,0.86
Butwal Trans,Transportation,0.91
Kathmandu Books,Education,0.94
Moonlight Stationery,Education,0.93
Prime Arcade Hetauda,Entertainment,0.98
Sajilo Resort,Travel,0.82
Kathmandu Logistics Chitwan,Business,0.84
Golden Institute,Education,0.87
Heritage Super Trek,Travel,0.85
Lalitpur Rides Jumla,Transportation,0.84
Koshi Modern Restaurant 684,Food & Dining,0.98
Nepalgunj Clinic,Healthcare,0.85
Moonlight Consultancy Pokhara 260,Business,0.85
City Tuition 490,Education,0.93
Everest Kirana Janakpur,Other,0.9
Moonlight Modern Bhojanalay 50,Food & Dining,0.97
Gorkha Super Kirana Bhaktapur,Other,0.97
Prime Taxi Jumla,Transportation,0.89
Blue Agency Janakpur,Business,0.95
Nepal Store,Shopping,0.97
Blue Service Gorkha,Utilities,0.88
Biratnagar Classic Studio,Entertainment,0.87
Lalitpur Provider,Other,0.89
Riverside Taxi Gorkha,Transportation,0.95
Mero Modern Theatre 472,Entertainment,0.8
City Retreat Jumla,Travel,0.93
Sundar Flight,Travel,0.81
Sunrise Training,Education,0.91
City Center Syangja,Education,0.92
Everest Assortment Janakpur,Other,0.94
Himal Mart,Food & Dining,0.81
Golden Modern Cable Hetauda,Utilities,0.92
Gorkha Corner,Other,0.87
Chitwan Service,Utilities,0.93
Janakpur Logistics Pokhara 198,Business,0.88
Suryodaya Pasal,Other,0.81
Dharan Logistics Butwal,Business,0.85
Himal Logistics Dharan 210,Business,0.82
Himal Momo Chitwan,Food & Dining,0.96
Pashupati Supplies Dhangadhi 567,Business,0.97
Mountain Global Center 585,Education,0.93
Dullu Ayurveda,Healthcare,0.91
Moonlight Urban Petrol Pump,Transportation,0.83
Classic Lodge Chitwan,Travel,0.84
Quick Garage,Transportation,0.8
Himal Hostel Dharan,Business,0.9
Sunrise Broadband Gorkha,Utilities,0.85
Quick Taxi Syangja,Transportation,0.88
Naya Classic Trans 781,Transportation,0.82
Syangja Institute Lalitpur,Education,0.93
Good Mega Depo 237,Shopping,0.83
City Shop 899,Other,0.98
Smart Water 724,Utilities,0.81
Quick Bus Service,Transportation,0.88
Metro Lodge Nepalgunj,Travel,0.83
Lalitpur Mega Telecom,Utilities,0.89
Bhaktapur Cable Kathmandu,Utilities,0.96
Sundar Water,Utilities,0.97
Happy Trek,Travel,0.85
Pashupati Fashion,Shopping,0.93
Himal Electronics Kathmandu,Shopping,0.83
Urban Books,Education,0.9
Pashupati College Chitwan 969,Education,0.84
Sundar Classic Diagnostics,Healthcare,0.83
Bagmati Studio Jumla,Entertainment,0.97
Moonlight Trans 910,Transportation,0.86
Nepal Urban Gaming Gorkha,Entertainment,0.8
First Bakery 791,Food & Dining,0.96
Hetauda Modern Sewa,Transportation,0.88
Lalitpur Broadband Syangja,Utilities,0.96
Dullu Hostel,Business,0.94
Everest Institute Jumla,Education,0.91
Heritage Health Center,Healthcare,0.92
Trust Rides Janakpur,Transportation,0.89
Butwal Hostel Dharan,Business,0.95
Smart Water Butwal,Utilities,0.9
Smart Foods,Food & Dining,0.99
Bagmati Kirana,Other,0.97
Classic Sewa Janakpur,Transportation,0.84
Bagmati Classic Shop,Shopping,0.83
Gorkha Classic Cafe,Food & Dining,0.96
Quick Mega Gaming,Entertainment,0.82
Gorkha Lounge,Entertainment,0.81
Quick Mega Theatre Biratnagar,Entertainment,0.92
Koshi Outlet Biratnagar,Shopping,0.83
Sajilo Bus Service,Transportation,0.99
Biratnagar Diner 869,Food & Dining,0.9
Quick Mega Supplies,Business,0.98
Elite Classic Kirana Gorkha 786,Other,0.93
Trust Urban Logistics,Business,0.91
Lakeside Restaurant,Food & Dining,0.83
Sundar Super Club Butwal 343,Entertainment,0.81
Seti Petrol Pump Dharan,Transportation,0.87
Biratnagar Modern Lodge Syangja,Travel,0.85
Trust Classic Training Janakpur,Education,0.99
Lalitpur Laboratory,Healthcare,0.82
Quick Super Electronics Gorkha 269,Shopping,0.95
Pashupati Shop 601,Other,0.82
Sukrishna Pasal 127,Other,0.97
Riverside Foods Dharan,Food & Dining,0.94
Himal Logistics Hetauda,Business,0.82
Sunrise Fashion,Shopping,0.81
Chitwan Store,Shopping,0.97
Moonlight Emporium,Shopping,0.8
Lalitpur Bhojanalay,Food & Dining,0.99
Classic Trek,Travel,0.85
Blue Global Assortment 84,Other,0.85
Prime Fuel Station Dharan 272,Transportation,0.94
Happy Hotel Hetauda,Travel,0.9
Kathmandu Retreat 725,Travel,0.87
Koshi Health Center,Healthcare,0.96
Riverside Medical,Healthcare,0.82
Smart Lounge,Entertainment,0.97
Good Provider Biratnagar,Other,0.83
Biratnagar Lounge Biratnagar,Entertainment,0.88
Ananda Modern Beverages,Food & Dining,0.83
Chitwan Utility,Utilities,0.97
Riverside Solutions Hetauda,Business,0.87
Classic Collection Dhangadhi,Shopping,0.95
Kathmandu Global Internet,Utilities,0.83
Quick Mart 824,Food & Dining,0.82
Naya Fuel Station Dhangadhi,Transportation,0.96
Bishal Classic Center Jumla,Education,0.9
Everest Kitchen Chitwan,Food & Dining,0.83
Dharan Urban Diagnostics,Healthcare,0.86
Lalitpur Momo,Food & Dining,0.91
Trust Emporium,Shopping,0.94
Quick Care Kathmandu,Healthcare,0.84
Dharan Cafe Lalitpur,Food & Dining,0.87
Pokhara Guest House Biratnagar,Travel,0.94
Lakeside Logistics 800,Business,0.93
Hetauda Modern Petrol Pump,Transportation,0.89
Suryodaya College,Education,0.92
Riverside Club Kathmandu,Entertainment,0.88
Janakpur Global Diagnostics,Healthcare,0.91
Dharan Classic Travels,Travel,0.95
Classic Urban Restaurant Butwal,Food & Dining,0.93
Sunrise Services,Business,0.94
Lakeside Super Tuition,Education,0.86
Mountain Super Diagnostics,Healthcare,0.89
Himal Utility,Utilities,0.82
Heritage Diagnostics Gorkha,Healthcare,0.96
Kathmandu Bus Service Jumla,Transportation,0.93
Heritage Restaurant Lalitpur,Food & Dining,0.92
Sundar Electronics 277,Shopping,0.94
Sajilo Garage,Transportation,0.92
Smart Urban Kirana,Other,0.83
Bhaktapur Agency Dharan,Travel,0.94
Smart Classic Bus Service,Transportation,0.98
Sukrishna Global Shop Pokhara,Shopping,0.93
Bagmati Garage Dhangadhi,Transportation,0.86
Quick Laboratory Dhangadhi,Healthcare,0.98
Elite Classic Office,Business,0.97
Lalitpur Urban Hotel,Travel,0.92
Gorkha School Butwal,Education,0.89
Classic Lodge,Travel,0.89
Dullu Global Telecom Syangja 378,Utilities,0.86
Urban Hostel Dhangadhi,Business,0.83
Trust Mega Momo Dharan 162,Food & Dining,0.85
Classic Point Chitwan 64,Other,0.96
Lakeside Point Dhangadhi,Other,0.94
Seti Super Consultancy Dharan,Business,0.93
Sajilo Sewa,Transportation,0.81
Dharan Cable,Utilities,0.84
Kathmandu Flight,Travel,0.96
Sajilo Global Bus Service Dhangadhi,Transportation,0.89
Chitwan Rides Pokhara,Transportation,0.97
Naya Ayurveda,Healthcare,0.81
City Club,Entertainment,0.86
Pokhara Hotel,Travel,0.93
Lalitpur Classic Pharmacy Chitwan,Healthcare,0.8
Kathmandu Modern Cafe,Food & Dining,0.85
Prime Modern Training,Education,0.97
Dharan Books,Education,0.82
Dullu Foods,Food & Dining,0.87
Suryodaya Entertainment Syangja,Entertainment,0.92
Riverside Electric,Utilities,0.83
Smart Mega Academy Lalitpur,Education,0.88
Heritage Foods,Food & Dining,0.96
Himal Assortment Janakpur,Other,0.96
Quick Urban Flight 696,Travel,0.87
Biratnagar Utility Gorkha,Utilities,0.84
Dullu Vendor,Other,0.8
Sajilo Stationery Biratnagar,Education,0.83
Seti Retreat,Travel,0.91
Suryodaya Bus Service,Transportation,0.92
Metro Urban Center Dhangadhi 376,Other,0.95
First Outlet Chitwan,Shopping,0.81
Royal Mart 397,Food & Dining,0.87
Nepal Modern Petrol Pump Janakpur,Transportation,0.88
Nepal Point Hetauda 906,Other,0.86
Himal Bus Service Kathmandu,Transportation,0.84
Bhaktapur Momo Pokhara,Food & Dining,0.96
Blue Office,Business,0.87
Heritage Sewa Syangja,Transportation,0.99
Kathmandu Tuition,Education,0.85
Pokhara Telecom Nepalgunj,Utilities,0.9
Urban Solutions Butwal,Business,0.82
Syangja Agency 86,Business,0.86
Nepal Books Biratnagar,Education,0.98
Lumbini Studio Butwal,Entertainment,0.82
Quick Mart Dharan,Food & Dining,0.87
Ananda Depo,Shopping,0.95
Bhaktapur Cinema,Entertainment,0.89
Nepal Books,Education,0.97
Prime Global Lounge Biratnagar,Entertainment,0.9
Lumbini Energy Lalitpur,Utilities,0.85
Smart Urban Point Nepalgunj,Other,0.86
Bagmati Transport,Transportation,0.83
First Trans Hetauda,Transportation,0.95
Elite Ayurveda,Healthcare,0.83
Butwal Rides,Transportation,0.87
Naya Fuel Station 608,Transportation,0.85
Chitwan Care,Healthcare,0.97
Golden Center Kathmandu,Education,0.81
Heritage Fashion Dhangadhi,Shopping,0.82
Naya Cafe Bhaktapur 260,Food & Dining,0.81
Ananda Center Bhaktapur,Education,0.91
Happy Classic Service Gorkha,Utilities,0.92
Dullu Modern Lodge,Travel,0.97
Butwal Shop Chitwan,Shopping,0.94
Bishal Electric Dhangadhi 680,Utilities,0.83
Elite College,Education,0.98
Heritage Mega Petrol Pump Nepalgunj,Transportation,0.84
Lumbini University 990,Education,0.84
First Assortment Dhangadhi,Other,0.88
Green Office Hetauda,Business,0.99
Dharan Super Transport Chitwan,Transportation,0.84
Riverside Super Cafe,Food & Dining,0.96
Smart Super Provider,Other,0.84
Lakeside Shop Jumla 832,Other,0.85
Metro Lodge Dharan 89,Travel,0.85
Suryodaya Utility Dharan 641,Utilities,0.94
Lumbini Entertainment,Entertainment,0.88
Bhaktapur Modern Tours 215,Travel,0.89
Lakeside Global Logistics Nepalgunj,Business,0.88
Lumbini Water,Utilities,0.87
Urban Solutions Hetauda,Business,0.92
Classic Cinema,Entertainment,0.87
Bishal Solutions 37,Business,0.83
Moonlight Urban Mart Dharan,Shopping,0.87
Janakpur College,Education,0.85
Pokhara Modern Hotel Dharan,Travel,0.86
Bishal Modern Playzone,Entertainment,0.83
Ananda Garage Kathmandu,Transportation,0.97
Green Diagnostics Dharan,Healthcare,0.82
Kathmandu Super Service Syangja,Utilities,0.86
Elite Classic Store 160,Shopping,0.85
Dullu Super Diner,Food & Dining,0.91
Sajilo Office,Business,0.96
Sunrise Emporium 211,Shopping,0.98
Dullu Hostel Biratnagar,Business,0.86
Sajilo Bakery,Food & Dining,0.82
Blue College,Education,0.95
Dullu Goods,Other,0.8
Sundar Global Club Hetauda,Entertainment,0.97
Royal Diner Janakpur,Food & Dining,0.98
City Corner,Other,0.99
Kathmandu Books 562,Education,0.87
Nepal Classic Bazaar,Shopping,0.86
Prime Trans Janakpur,Transportation,0.91
Urban Trek Janakpur,Travel,0.88
Ananda Hostel,Business,0.89
Sukrishna Electronics Nepalgunj,Shopping,0.89
Seti Modern Services,Business,0.93
Hetauda Arcade,Entertainment,0.9
Dullu Mega Taxi Syangja,Transportation,0.91
Chitwan Solutions,Business,0.85
Sundar Theatre,Entertainment,0.84
Chitwan Trek 15,Travel,0.87
Suryodaya Beverages Dharan,Food & Dining,0.92
Dharan Urban Telecom,Utilities,0.88
Himal Kirana Lalitpur 524,Other,0.95
Pashupati Super Tours Lalitpur,Travel,0.8
Quick University,Education,0.98
Naya Pharmacy Kathmandu,Healthcare,0.91
Koshi Global School,Education,0.88
Classic Office 399,Business,0.93
Good Momo 323,Food & Dining,0.82
Sundar Kirana Syangja 554,Other,0.97
Pashupati Printing Lalitpur,Business,0.93
Moonlight Service Chitwan,Utilities,0.93
Lakeside Institute,Education,0.91
Prime Care Hetauda,Healthcare,0.83
City Agency Kathmandu 687,Business,0.86
Metro Club Pokhara,Entertainment,0.89
Nepalgunj Global Utility Biratnagar,Utilities,0.97
Himal Travels Biratnagar 195,Transportation,0.84
First Broadband Lalitpur,Utilities,0.87
Chitwan Provider Nepalgunj,Other,0.94
Dharan Printing,Business,0.96
Golden Bhojanalay Chitwan,Food & Dining,0.91
Lakeside Kirana Kathmandu,Other,0.85
Suryodaya Office Jumla,Business,0.83
Butwal Arcade Jumla 595,Entertainment,0.94
Bhaktapur Depo,Shopping,0.86
Pokhara Cable Butwal,Utilities,0.86
